Monmouth College,2,40.9121747,-90.6403183
Johns Hopkins University,18,39.3249281,-76.6233538
"Washington Square College, New York University",23,40.7295134,-73.9964609
DePaul University,1,41.8776314,-87.6272206
Nativity High School,1,42.3883991,-83.0050613
Franklin and Marshall College,2,40.04748,-76.317913
Massachusetts State College,5,42.2684332,-71.8423676
Simmons College,1,42.3390666,-71.1006594
Duke University,7,36.00153,-78.94001
Dillard University,2,29.9948363,-90.0652007
Fordham University,8,40.8616045,-73.885758
University College,1,43.0391534,-76.1351158
Wesieyan University,1,41.5566104,-72.6569041
University of North Carolina,13,34.225775,-77.8697741
Stanford University,12,37.4274745,-122.169719
Washington & Jefferson College,2,40.171125,-80.241193
Western Reserve University,1,41.5043413,-81.6083838
Milton Academy,1,42.2551731,-71.0718226
Los Angeles City Schools,1,34.0320895,-118.3180965
Harvard Medical School,2,42.3366043,-71.1042154
Lilly Research Laboratories,1,1.56502,1.56502
Heidelberg College,1,49.4111532,8.7060074
"University of Maryland, School of Medicine",5,39.2887587,-76.6253242
Frick Educational Commission,2,8.02239,8.02239
University of Texas,1,32.85013,-96.80028
Catholic University,1,38.9368811,-76.998692
California Institute of Technology,5,34.1376576,-118.125269
New York University College of Medicine,2,40.8501,-73.84625
Beloit College,1,42.5030334,-89.030906
Wabash College,4,40.0351229,-86.9070911
Williams College,9,42.7134709,-73.2049942
University of Maryland Medical School,1,39.2988678,-76.5922432
Massachusetts Institute of Technology,2,42.360091,-71.09416
Marine Biological Laboratory,6,41.5250098,-70.6712845
Academy of Natural Sciences,1,39.9568251,-75.1711803
University of California,13,34.4139629,-119.848947
State University of Iowa,8,41.6621432,-91.5550581
Bowdoin College,3,43.9067324,-69.9637933
Harvard University Medical School,5,42.325916,-71.500265
Skidmore College,1,43.0961489,-73.7817705
New York University College of Dentistry,5,40.7378806,-73.978268
Oklahoma City University,1,35.494982,-97.544105
Columbia University,45,40.8075355,-73.9625727
May Institute for Medical Research,1,101.699852,101.699852
"Dept of Zoology, State University of Iowa",1,41.8780025,-93.097702
University of Miami,1,25.7179436,-80.2781784
Wheaton College,12,41.96677,-71.18422
Society of the Divine Word,1,33.936126,-117.504771
Wilson College,6,39.9500043,-77.6497847
Eli Lilly and Company,7,39.775734,-86.176597
Long Island University,1,40.8177497,-73.5889284
Amherst College,22,42.3709104,-72.5170028
Woman's Medical College of Pennsylvania,3,-75.183273,-75.183273
Brooks School,1,42.7075801,-71.0854929
University of Virginia,6,38.03561,-78.50329
Massachusetts Department of Health,1,42.63085,-70.7816239
Woods Hole Oceanographic Institution,1,41.524508,-70.6710657
De Pauw University,10,64.8890888,-147.8068053
George Washington University,2,38.9007683,-77.0474734
Elmira College,1,42.0967817,-76.8153705
Princeton University,29,40.34285,-74.65682
University of Iowa,1,41.6626963,-91.5548998
Johnson Research Foundation,1,33.849523,-84.3647
ConnecticutCollege,1,41.3786877,-72.1045869
Hallahan High School,1,39.9598495,-75.1701522
Birmingham Southern College,1,33.5148629,-86.8559116
College of New Rochelle,4,40.89899,-73.7818
Brooklyn College,13,40.6309949,-73.9544124
"Smith, Amherst, and Mount Holyoke Colleges",1,-72.519836,-72.519836
University of Cincinnati,9,39.1329219,-84.5149504
St. Vincent College,2,41.2019514,-73.2016214
St. Joseph College for Women,1,9.498708,76.3290846
Converse College,1,34.9561776,-81.9186956
"University of Pennsylvania, Medical School",3,40.0068652,-75.1519054
Yale University,22,41.3163244,-72.9223431
"Dept of Biology, Catholic University of America",1,38.9095382,-77.0734746
National Research Council,1,45.487279,-73.672928
Kent State University,1,41.1490629,-81.3414649
St. Benedict's College,1,51.885306,0.873
"New York University, College of Medicine",6,40.8508265,-73.8456233
Carlsberg Laboratory,1,8.03036,8.03036
Davis-Elkins College,1,38.9307162,-79.8478278
University of Illinois,13,40.1019523,-88.2271615
"Vanderbilt University, School of Medicine",3,36.1421733,-86.8025488
University of Arizona,1,33.4522217,-112.0662126
"University of Pennsylvania, School of Medicine",13,40.0068652,-75.1519054
Cronell Division of the Bellevue Hospital,1,174.760818,174.760818
Sarah Lawrence College,4,40.9339273,-73.8475444
Purdue University,5,40.42809,-86.92251
